Country,Year,Age_Group,Sex,Deaths,Rate_per_100k,Region,Income_Level,Treatment_Access,Urban_Rural,Hospitalized,Notes
Japan,2008,65+,Male,585,40.89,Central,Lower-Middle,Moderate,Urban,Yes,Syphilis
Brazil,2007,25-34,Female,27,49.5,West,Lower-Middle,Poor,Urban,No,Syphilis
Canada,2001,45-54,Male,984,20.4,North,Low,Moderate,Urban,Yes,Syphilis
Brazil,2015,65+,Female,861,0.65,South,High,Poor,Urban,Yes,Syphilis
Japan,2012,15-24,Female,81,8.57,East,High,Moderate,Urban,Yes,Syphilis
Brazil,2006,65+,Male,596,32.66,South,Upper-Middle,Poor,Rural,Yes,Syphilis
South Africa,2015,0-14,Female,199,30.64,Central,Low,Good,Urban,No,Syphilis
Japan,2006,0-14,Male,555,39.41,West,High,Poor,Rural,Yes,Syphilis
Australia,2013,45-54,Female,775,12.77,Central,High,Good,Rural,Yes,Syphilis
India,2013,25-34,Male,92,38.21,South,Upper-Middle,Good,Rural,No,Syphilis
Australia,2011,35-44,Female,851,34.43,North,Lower-Middle,Moderate,Rural,Yes,Syphilis
South Africa,2000,15-24,Female,959,16.21,West,High,Good,Rural,Yes,Syphilis
India,2000,45-54,Male,84,27.32,West,Lower-Middle,Good,Rural,No,Syphilis
South Africa,2011,15-24,Male,300,7.45,South,Upper-Middle,Moderate,Urban,Yes,Syphilis
India,2019,0-14,Male,935,22.68,Central,High,Poor,Rural,No,Syphilis
Australia,2020,55-64,Male,296,44.07,South,Lower-Middle,Poor,Rural,Yes,Syphilis
Japan,2014,55-64,Female,647,21.12,West,Low,Good,Urban,No,Syphilis
USA,2003,35-44,Female,454,41.99,South,Lower-Middle,Poor,Urban,Yes,Syphilis
France,2006,15-24,Female,281,29.55,West,Lower-Middle,Good,Urban,Yes,Syphilis
France,2015,45-54,Female,59,9.67,Central,Lower-Middle,Poor,Urban,No,Syphilis
South Africa,2002,35-44,Female,909,29.1,North,Lower-Middle,Poor,Urban,Yes,Syphilis
France,2006,65+,Female,871,25.35,North,Low,Poor,Urban,No,Syphilis
Australia,2023,65+,Male,342,19.99,South,Upper-Middle,Good,Urban,No,Syphilis
Germany,2021,25-34,Female,753,6.07,West,Lower-Middle,Moderate,Rural,No,Syphilis
South Africa,2005,55-64,Female,465,20.89,North,Lower-Middle,Poor,Urban,No,Syphilis
India,2015,45-54,Male,880,3.73,West,High,Poor,Rural,Yes,Syphilis
Canada,2023,15-24,Female,342,5.03,Central,High,Poor,Urban,No,Syphilis
Brazil,2007,35-44,Female,610,20.85,South,Low,Good,Urban,Yes,Syphilis
Australia,2022,45-54,Female,62,15.34,West,Low,Moderate,Rural,Yes,Syphilis
India,2021,35-44,Male,776,46.28,South,Low,Good,Urban,No,Syphilis
Germany,2005,35-44,Male,625,18.85,West,High,Poor,Urban,No,Syphilis
Canada,2009,35-44,Female,429,37.92,West,Lower-Middle,Good,Urban,Yes,Syphilis
France,2015,15-24,Male,658,26.56,Central,High,Poor,Urban,No,Syphilis
Germany,2010,45-54,Female,728,35.23,South,Upper-Middle,Poor,Urban,Yes,Syphilis
South Africa,2012,0-14,Female,256,13.08,East,Low,Good,Urban,No,Syphilis
UK,2005,0-14,Female,828,47.1,West,Low,Poor,Urban,Yes,Syphilis
UK,2023,15-24,Male,828,26.55,West,Low,Poor,Rural,Yes,Syphilis
France,2000,65+,Female,874,41.58,North,Upper-Middle,Moderate,Urban,No,Syphilis
UK,2020,15-24,Female,770,18.32,South,Lower-Middle,Good,Rural,Yes,Syphilis
UK,2018,55-64,Female,706,5.1,East,Lower-Middle,Good,Rural,Yes,Syphilis
India,2011,35-44,Female,347,33.72,Central,Lower-Middle,Poor,Rural,No,Syphilis
India,2023,45-54,Female,526,0.49,East,Low,Poor,Rural,No,Syphilis
Brazil,2005,45-54,Male,304,23.82,Central,Lower-Middle,Good,Rural,No,Syphilis
Japan,2017,25-34,Female,615,9.72,East,High,Good,Rural,No,Syphilis
France,2012,25-34,Male,245,31.41,East,Low,Good,Rural,No,Syphilis
UK,2006,0-14,Female,757,48.97,South,Upper-Middle,Poor,Urban,Yes,Syphilis
Brazil,2022,25-34,Male,824,23.27,North,Upper-Middle,Moderate,Urban,Yes,Syphilis
France,2012,25-34,Female,780,40.89,East,Lower-Middle,Moderate,Urban,No,Syphilis
UK,2020,0-14,Female,736,25.44,West,Low,Poor,Rural,Yes,Syphilis
Australia,2007,55-64,Male,732,24.84,West,High,Poor,Urban,Yes,Syphilis
USA,2020,65+,Male,823,46.53,West,High,Poor,Rural,Yes,Syphilis
Australia,2016,0-14,Female,412,44.51,North,Low,Good,Rural,Yes,Syphilis
Canada,2008,65+,Male,878,39.31,East,Lower-Middle,Poor,Urban,Yes,Syphilis
France,2019,25-34,Male,217,14.88,Central,Upper-Middle,Good,Rural,No,Syphilis
Japan,2012,45-54,Female,516,27.3,Central,Upper-Middle,Moderate,Rural,No,Syphilis
Canada,2001,25-34,Female,474,11.27,South,High,Poor,Urban,Yes,Syphilis
Brazil,2003,35-44,Female,36,22.25,North,High,Poor,Rural,Yes,Syphilis
Brazil,2001,65+,Female,178,24.26,East,High,Good,Urban,No,Syphilis
UK,2003,65+,Female,387,41.6,West,Upper-Middle,Good,Rural,No,Syphilis
Canada,2017,35-44,Male,769,44.81,North,High,Good,Rural,No,Syphilis
UK,2004,35-44,Female,17,20.79,North,Upper-Middle,Moderate,Urban,No,Syphilis
France,2018,55-64,Male,711,0.98,East,Upper-Middle,Moderate,Urban,Yes,Syphilis
Brazil,2009,15-24,Female,830,43.1,South,Lower-Middle,Poor,Urban,No,Syphilis
USA,2017,35-44,Female,48,8.8,South,Lower-Middle,Poor,Rural,No,Syphilis
Brazil,2020,65+,Male,62,31.13,South,Lower-Middle,Good,Rural,Yes,Syphilis
India,2009,45-54,Female,69,1.35,West,High,Moderate,Urban,No,Syphilis
Germany,2004,65+,Male,659,20.04,West,Upper-Middle,Poor,Urban,No,Syphilis
Japan,2016,65+,Male,871,49.3,East,High,Good,Urban,No,Syphilis
Canada,2021,55-64,Male,366,5.12,South,Upper-Middle,Good,Rural,No,Syphilis
UK,2012,15-24,Female,162,21.24,East,Lower-Middle,Moderate,Rural,No,Syphilis
Germany,2022,15-24,Female,739,15.43,South,Lower-Middle,Moderate,Urban,Yes,Syphilis
Germany,2016,35-44,Female,945,45.26,North,High,Poor,Urban,Yes,Syphilis
Australia,2008,25-34,Female,976,43.48,Central,Upper-Middle,Poor,Urban,Yes,Syphilis
South Africa,2023,65+,Female,488,11.96,Central,High,Good,Rural,Yes,Syphilis
Australia,2011,0-14,Female,431,4.15,South,Low,Good,Urban,Yes,Syphilis
Australia,2013,25-34,Male,999,31.39,East,High,Good,Urban,No,Syphilis
Japan,2013,25-34,Female,859,16.88,West,Lower-Middle,Poor,Urban,No,Syphilis
India,2007,15-24,Female,489,33.64,South,Upper-Middle,Moderate,Rural,No,Syphilis
Brazil,2022,15-24,Female,230,1.7,South,Upper-Middle,Poor,Rural,No,Syphilis
Australia,2004,55-64,Female,370,6.76,West,High,Moderate,Urban,No,Syphilis
France,2018,55-64,Male,178,34.35,South,Lower-Middle,Poor,Rural,No,Syphilis
Brazil,2013,15-24,Male,857,10.7,North,Low,Poor,Urban,No,Syphilis
India,2008,45-54,Male,410,42.89,West,High,Moderate,Urban,No,Syphilis
UK,2006,45-54,Male,568,3.02,North,Upper-Middle,Poor,Urban,No,Syphilis
South Africa,2007,0-14,Male,590,10.85,Central,Lower-Middle,Poor,Urban,No,Syphilis
Brazil,2013,15-24,Female,270,49.93,West,Upper-Middle,Good,Rural,No,Syphilis
Canada,2021,35-44,Male,206,21.71,West,Upper-Middle,Moderate,Urban,No,Syphilis
Japan,2013,55-64,Male,793,35.18,East,Upper-Middle,Moderate,Urban,No,Syphilis
Germany,2010,15-24,Female,740,9.21,East,Upper-Middle,Good,Rural,Yes,Syphilis
UK,2013,45-54,Female,900,30.53,West,Low,Moderate,Urban,No,Syphilis
India,2020,15-24,Male,751,36.33,Central,Lower-Middle,Good,Rural,Yes,Syphilis
Australia,2007,45-54,Female,975,15.79,South,High,Moderate,Urban,No,Syphilis
France,2002,15-24,Female,800,41.46,East,Lower-Middle,Moderate,Urban,No,Syphilis
France,2022,65+,Male,82,30.21,Central,Lower-Middle,Moderate,Urban,No,Syphilis
South Africa,2017,35-44,Female,846,19.52,Central,Lower-Middle,Moderate,Urban,Yes,Syphilis
India,2002,0-14,Male,762,27.93,East,High,Good,Rural,Yes,Syphilis
UK,2012,65+,Male,193,28.88,South,Lower-Middle,Good,Urban,No,Syphilis
Canada,2011,35-44,Female,618,8.36,East,High,Moderate,Rural,No,Syphilis
Germany,2014,45-54,Male,189,20.2,Central,High,Poor,Rural,No,Syphilis
Australia,2017,55-64,Male,276,17.24,North,Low,Good,Rural,No,Syphilis
Japan,2004,55-64,Female,74,20.11,East,Upper-Middle,Moderate,Urban,Yes,Syphilis
USA,2006,25-34,Female,10,38.08,Central,High,Good,Rural,Yes,Syphilis
USA,2010,35-44,Female,635,24.18,East,Upper-Middle,Poor,Rural,No,Syphilis
Australia,2010,15-24,Female,216,47.02,Central,Lower-Middle,Poor,Rural,Yes,Syphilis
UK,2014,0-14,Male,290,14.75,South,Upper-Middle,Poor,Urban,Yes,Syphilis
Australia,2009,15-24,Female,445,20.84,Central,Upper-Middle,Moderate,Urban,No,Syphilis
India,2014,15-24,Female,988,39.37,West,Upper-Middle,Moderate,Rural,No,Syphilis
USA,2012,35-44,Male,923,27.35,North,Lower-Middle,Poor,Rural,No,Syphilis
South Africa,2013,0-14,Male,552,27.4,Central,Lower-Middle,Good,Urban,Yes,Syphilis
India,2016,25-34,Male,193,2.76,East,High,Good,Rural,No,Syphilis
USA,2012,65+,Male,639,19.99,East,High,Poor,Rural,Yes,Syphilis
Canada,2009,15-24,Female,289,13.61,Central,Low,Moderate,Rural,No,Syphilis
Germany,2000,0-14,Female,964,49.97,West,Lower-Middle,Good,Urban,No,Syphilis
France,2000,25-34,Male,583,15.49,Central,Low,Good,Rural,Yes,Syphilis
India,2014,65+,Male,649,44.24,South,Lower-Middle,Good,Rural,Yes,Syphilis
France,2015,15-24,Male,144,33.84,West,Upper-Middle,Moderate,Urban,Yes,Syphilis
France,2011,0-14,Male,389,17.11,Central,Low,Poor,Rural,Yes,Syphilis
USA,2023,65+,Female,866,27.22,North,Low,Moderate,Urban,Yes,Syphilis
India,2005,35-44,Male,892,42.04,West,Low,Good,Urban,Yes,Syphilis
Germany,2005,55-64,Female,407,44.18,Central,Lower-Middle,Poor,Urban,No,Syphilis
Canada,2011,55-64,Male,811,8.1,North,High,Moderate,Rural,Yes,Syphilis
Brazil,2014,15-24,Female,370,17.04,Central,Low,Poor,Rural,Yes,Syphilis
South Africa,2003,15-24,Female,857,16.83,South,High,Good,Rural,No,Syphilis
France,2023,65+,Female,441,2.2,East,Lower-Middle,Moderate,Rural,Yes,Syphilis
Germany,2003,0-14,Female,947,29.95,Central,Low,Poor,Rural,Yes,Syphilis
Japan,2001,55-64,Male,781,42.76,West,Lower-Middle,Moderate,Rural,No,Syphilis
Japan,2023,15-24,Female,896,19.14,Central,High,Good,Rural,No,Syphilis
Brazil,2011,25-34,Male,920,37.03,Central,High,Poor,Rural,No,Syphilis
Brazil,2006,15-24,Female,651,31.42,Central,Low,Good,Urban,Yes,Syphilis
Brazil,2019,55-64,Female,564,18.84,Central,High,Poor,Rural,No,Syphilis
South Africa,2008,45-54,Male,529,7.14,West,Upper-Middle,Good,Rural,Yes,Syphilis
South Africa,2008,55-64,Male,677,35.5,West,Upper-Middle,Good,Urban,No,Syphilis
Canada,2007,25-34,Female,13,42.74,Central,Low,Moderate,Rural,Yes,Syphilis
France,2013,0-14,Female,702,34.32,East,Lower-Middle,Good,Urban,No,Syphilis
UK,2000,25-34,Male,987,0.99,Central,Lower-Middle,Moderate,Rural,No,Syphilis
Japan,2022,45-54,Female,340,10.89,West,Lower-Middle,Good,Rural,No,Syphilis
USA,2020,45-54,Male,865,3.57,South,Upper-Middle,Good,Urban,Yes,Syphilis
USA,2022,15-24,Male,874,28.56,Central,High,Good,Urban,Yes,Syphilis
Brazil,2011,15-24,Male,864,37.85,Central,Upper-Middle,Poor,Rural,No,Syphilis
Australia,2001,55-64,Female,776,5.62,Central,High,Moderate,Urban,No,Syphilis
Japan,2012,35-44,Female,312,41.93,Central,Upper-Middle,Poor,Rural,No,Syphilis
UK,2003,25-34,Male,733,27.82,North,Lower-Middle,Moderate,Rural,No,Syphilis
UK,2019,55-64,Male,104,34.53,Central,Lower-Middle,Good,Rural,Yes,Syphilis
USA,2017,35-44,Male,339,48.57,West,Lower-Middle,Poor,Rural,No,Syphilis
Australia,2018,55-64,Male,198,4.28,West,Low,Moderate,Rural,No,Syphilis
UK,2015,45-54,Female,300,45.07,North,Low,Good,Rural,Yes,Syphilis
Japan,2013,15-24,Male,444,6.39,Central,High,Moderate,Urban,Yes,Syphilis
France,2007,15-24,Female,359,19.71,East,Low,Moderate,Urban,No,Syphilis
Germany,2011,55-64,Male,368,42.59,Central,Upper-Middle,Good,Urban,No,Syphilis
Australia,2008,15-24,Female,169,45.32,West,Upper-Middle,Poor,Rural,Yes,Syphilis
UK,2005,0-14,Female,149,25.37,South,High,Good,Urban,Yes,Syphilis
Australia,2017,55-64,Female,761,29.75,South,High,Poor,Rural,No,Syphilis
Australia,2001,45-54,Female,768,35.44,East,Lower-Middle,Moderate,Urban,Yes,Syphilis
France,2022,65+,Female,982,41.65,Central,Low,Moderate,Rural,Yes,Syphilis
Japan,2007,55-64,Male,42,6.16,North,Lower-Middle,Moderate,Rural,No,Syphilis
USA,2023,55-64,Male,202,40.52,Central,Low,Poor,Rural,No,Syphilis
France,2013,15-24,Female,970,24.12,East,Low,Good,Rural,Yes,Syphilis
UK,2005,45-54,Male,244,22.59,East,High,Poor,Rural,No,Syphilis
Brazil,2009,55-64,Male,669,21.25,East,Lower-Middle,Moderate,Urban,No,Syphilis
France,2007,15-24,Male,464,25.51,South,Lower-Middle,Moderate,Rural,No,Syphilis
Brazil,2016,25-34,Male,449,47.26,Central,Low,Good,Urban,No,Syphilis
India,2011,45-54,Male,913,27.46,Central,Low,Poor,Rural,No,Syphilis
USA,2016,35-44,Male,798,47.66,North,High,Moderate,Rural,Yes,Syphilis
Japan,2012,0-14,Male,794,9.1,East,Upper-Middle,Poor,Rural,Yes,Syphilis
Germany,2018,35-44,Female,437,36.23,East,Lower-Middle,Poor,Urban,No,Syphilis
Australia,2011,65+,Male,893,40.63,West,Lower-Middle,Good,Rural,No,Syphilis
Brazil,2015,45-54,Male,750,33.99,West,High,Good,Urban,No,Syphilis
Germany,2004,55-64,Male,531,30.39,South,High,Moderate,Rural,Yes,Syphilis
Germany,2015,15-24,Female,565,28.28,Central,Lower-Middle,Good,Urban,Yes,Syphilis
Brazil,2005,65+,Female,597,43.06,North,Lower-Middle,Poor,Urban,Yes,Syphilis
Germany,2010,45-54,Male,273,41.1,North,Low,Good,Urban,Yes,Syphilis
Australia,2016,0-14,Female,430,6.2,East,Upper-Middle,Poor,Rural,No,Syphilis
Canada,2022,45-54,Female,872,42.44,North,Lower-Middle,Moderate,Rural,No,Syphilis
India,2013,65+,Male,213,20.76,East,High,Poor,Urban,Yes,Syphilis
Brazil,2005,15-24,Female,949,12.76,Central,Low,Good,Rural,Yes,Syphilis
Australia,2022,35-44,Male,873,43.5,North,Low,Good,Rural,No,Syphilis
USA,2010,25-34,Female,104,21.66,East,High,Moderate,Rural,No,Syphilis
Brazil,2011,35-44,Male,192,40.44,Central,High,Good,Urban,No,Syphilis
Australia,2012,15-24,Female,941,13.24,Central,Low,Moderate,Urban,No,Syphilis
Australia,2003,65+,Male,689,0.3,East,High,Moderate,Rural,No,Syphilis
France,2006,15-24,Male,659,24.82,East,Low,Good,Urban,Yes,Syphilis
Canada,2001,0-14,Female,380,5.1,South,High,Poor,Rural,No,Syphilis
Brazil,2005,45-54,Male,967,37.74,Central,Low,Moderate,Rural,Yes,Syphilis
Japan,2005,45-54,Male,81,13.88,East,Lower-Middle,Poor,Urban,Yes,Syphilis
Australia,2017,35-44,Female,705,22.24,Central,Lower-Middle,Good,Urban,No,Syphilis
India,2019,65+,Male,549,4.44,North,High,Poor,Rural,Yes,Syphilis
France,2007,25-34,Male,377,14.4,West,Upper-Middle,Poor,Rural,Yes,Syphilis
Australia,2007,25-34,Female,838,39.1,West,Lower-Middle,Poor,Rural,No,Syphilis
Brazil,2007,0-14,Male,154,7.66,East,Low,Poor,Urban,Yes,Syphilis
UK,2007,15-24,Female,642,32.39,East,Upper-Middle,Good,Urban,No,Syphilis
Australia,2000,0-14,Male,571,45.88,Central,Low,Good,Rural,No,Syphilis
South Africa,2001,45-54,Female,736,34.02,East,Low,Poor,Rural,Yes,Syphilis
UK,2011,55-64,Female,761,40.57,Central,Lower-Middle,Good,Urban,No,Syphilis
Australia,2014,55-64,Male,240,5.54,East,High,Good,Rural,No,Syphilis
Germany,2003,55-64,Female,374,12.61,Central,High,Moderate,Urban,Yes,Syphilis
Australia,2002,15-24,Male,901,44.74,East,Low,Good,Urban,No,Syphilis
USA,2013,0-14,Male,805,35.78,South,Lower-Middle,Poor,Rural,Yes,Syphilis
Germany,2021,65+,Female,799,32.01,Central,Low,Good,Rural,Yes,Syphilis
Brazil,2022,35-44,Male,204,33.22,South,Upper-Middle,Good,Urban,No,Syphilis
India,2007,45-54,Male,611,20.77,South,Low,Good,Rural,Yes,Syphilis
UK,2012,55-64,Female,350,2.32,South,Lower-Middle,Good,Urban,No,Syphilis
Japan,2022,65+,Male,688,39.24,South,Low,Moderate,Urban,Yes,Syphilis
France,2018,25-34,Male,774,33.97,North,Lower-Middle,Poor,Urban,No,Syphilis
India,2021,0-14,Female,783,23.69,West,High,Poor,Rural,No,Syphilis
Germany,2004,45-54,Male,143,45.0,North,Lower-Middle,Good,Rural,Yes,Syphilis
France,2012,45-54,Male,189,16.87,East,Upper-Middle,Good,Rural,Yes,Syphilis
UK,2019,25-34,Female,272,14.79,East,Lower-Middle,Moderate,Urban,No,Syphilis
Japan,2000,25-34,Male,532,43.65,West,Upper-Middle,Good,Urban,No,Syphilis
South Africa,2015,25-34,Male,845,39.87,West,Upper-Middle,Moderate,Urban,Yes,Syphilis
South Africa,2022,55-64,Female,300,25.8,West,Low,Poor,Urban,No,Syphilis
Japan,2023,55-64,Male,426,6.62,South,Upper-Middle,Poor,Rural,No,Syphilis
France,2001,0-14,Male,46,10.83,North,Lower-Middle,Moderate,Rural,Yes,Syphilis
Brazil,2006,25-34,Female,95,32.85,East,High,Poor,Rural,Yes,Syphilis
France,2005,35-44,Female,930,19.31,North,Lower-Middle,Good,Urban,No,Syphilis
Australia,2004,45-54,Male,64,41.84,North,High,Good,Urban,Yes,Syphilis
France,2003,25-34,Male,413,47.5,North,Upper-Middle,Moderate,Rural,Yes,Syphilis
Brazil,2001,45-54,Female,643,40.3,West,Low,Poor,Urban,No,Syphilis
India,2009,15-24,Male,9,18.94,West,Upper-Middle,Poor,Rural,Yes,Syphilis
UK,2021,65+,Male,459,39.46,East,Upper-Middle,Moderate,Urban,Yes,Syphilis
France,2004,15-24,Male,715,17.64,East,High,Moderate,Urban,No,Syphilis
UK,2017,25-34,Female,409,8.44,East,Lower-Middle,Poor,Urban,Yes,Syphilis
Germany,2009,45-54,Male,470,1.77,North,Low,Moderate,Urban,No,Syphilis
South Africa,2022,65+,Male,810,19.35,West,Low,Good,Urban,Yes,Syphilis
South Africa,2021,15-24,Female,506,45.19,South,Low,Poor,Rural,Yes,Syphilis
Brazil,2014,25-34,Female,686,12.03,North,Low,Moderate,Rural,No,Syphilis
Germany,2008,45-54,Female,73,10.41,Central,Lower-Middle,Moderate,Rural,Yes,Syphilis
South Africa,2010,25-34,Male,84,48.49,North,Low,Moderate,Urban,Yes,Syphilis
Brazil,2020,55-64,Male,59,1.35,West,High,Poor,Rural,Yes,Syphilis
France,2016,45-54,Female,21,39.31,Central,High,Good,Rural,Yes,Syphilis
Germany,2020,15-24,Male,458,16.14,North,Low,Good,Urban,Yes,Syphilis
Australia,2008,25-34,Male,918,1.97,West,Low,Poor,Urban,Yes,Syphilis
Australia,2022,15-24,Male,157,45.9,West,Lower-Middle,Moderate,Rural,No,Syphilis
Australia,2015,25-34,Male,831,7.07,South,Lower-Middle,Poor,Rural,Yes,Syphilis
India,2005,0-14,Female,329,27.63,North,Low,Poor,Rural,Yes,Syphilis
Australia,2021,15-24,Female,573,13.78,West,Lower-Middle,Moderate,Rural,No,Syphilis
Germany,2010,15-24,Male,576,3.35,East,Upper-Middle,Poor,Rural,No,Syphilis
USA,2022,35-44,Female,837,2.59,West,Low,Good,Urban,No,Syphilis
South Africa,2016,65+,Male,680,5.87,South,Lower-Middle,Poor,Rural,Yes,Syphilis
Australia,2003,55-64,Male,203,3.66,West,High,Moderate,Rural,No,Syphilis
Germany,2014,15-24,Female,641,38.05,North,Low,Poor,Rural,No,Syphilis
Canada,2000,45-54,Female,757,24.33,North,Low,Good,Rural,Yes,Syphilis
France,2021,65+,Male,106,17.21,Central,High,Poor,Rural,No,Syphilis
India,2019,25-34,Male,833,20.98,North,High,Poor,Rural,Yes,Syphilis
UK,2000,0-14,Male,122,46.45,Central,Lower-Middle,Poor,Urban,Yes,Syphilis
Brazil,2008,45-54,Male,318,45.55,East,High,Poor,Urban,Yes,Syphilis
Canada,2011,65+,Female,182,35.81,South,Upper-Middle,Moderate,Urban,Yes,Syphilis
Canada,2003,45-54,Female,615,44.25,East,Low,Good,Rural,Yes,Syphilis
India,2021,45-54,Male,316,16.05,Central,Upper-Middle,Good,Rural,No,Syphilis
Brazil,2012,45-54,Male,814,19.12,West,Lower-Middle,Good,Urban,Yes,Syphilis
India,2006,65+,Female,773,30.72,West,High,Poor,Rural,No,Syphilis
Australia,2007,0-14,Male,625,31.22,East,Low,Good,Rural,Yes,Syphilis
UK,2012,35-44,Female,406,24.14,West,High,Moderate,Rural,No,Syphilis
Brazil,2010,55-64,Male,986,20.09,Central,High,Poor,Urban,Yes,Syphilis
Germany,2008,15-24,Female,949,49.31,South,Lower-Middle,Poor,Urban,Yes,Syphilis
South Africa,2023,65+,Male,70,41.07,North,Lower-Middle,Good,Urban,Yes,Syphilis
India,2015,45-54,Male,160,21.81,Central,Lower-Middle,Poor,Rural,No,Syphilis
UK,2009,15-24,Male,240,36.39,Central,Lower-Middle,Poor,Urban,No,Syphilis
France,2010,65+,Female,523,13.55,North,Low,Good,Urban,No,Syphilis
USA,2011,15-24,Female,138,5.1,North,Upper-Middle,Moderate,Urban,Yes,Syphilis
France,2013,45-54,Male,495,17.69,South,Upper-Middle,Moderate,Rural,Yes,Syphilis
USA,2018,35-44,Male,679,20.21,South,Low,Good,Urban,No,Syphilis
Japan,2011,65+,Male,247,0.93,South,High,Moderate,Urban,Yes,Syphilis
Germany,2017,15-24,Male,866,40.76,West,Low,Moderate,Rural,No,Syphilis
Japan,2020,25-34,Female,543,18.02,Central,Upper-Middle,Moderate,Urban,Yes,Syphilis
India,2016,15-24,Female,524,29.06,North,Upper-Middle,Poor,Rural,No,Syphilis
India,2002,55-64,Female,243,3.79,Central,Low,Poor,Rural,No,Syphilis
USA,2000,45-54,Male,620,8.83,Central,Lower-Middle,Poor,Urban,Yes,Syphilis
Brazil,2018,0-14,Male,336,44.5,South,High,Moderate,Urban,No,Syphilis
UK,2003,15-24,Female,422,30.47,South,Low,Poor,Urban,Yes,Syphilis
Australia,2022,35-44,Male,835,47.52,Central,Upper-Middle,Moderate,Rural,Yes,Syphilis
Canada,2015,25-34,Female,194,49.94,South,Lower-Middle,Good,Urban,Yes,Syphilis
India,2011,25-34,Female,308,18.66,West,High,Moderate,Urban,No,Syphilis
Japan,2020,0-14,Female,645,15.01,North,Upper-Middle,Poor,Urban,No,Syphilis
Japan,2020,55-64,Female,907,42.93,Central,High,Moderate,Rural,No,Syphilis
France,2012,0-14,Male,506,49.93,North,Lower-Middle,Poor,Rural,Yes,Syphilis
Germany,2016,55-64,Female,281,31.52,West,Upper-Middle,Poor,Rural,Yes,Syphilis
USA,2007,15-24,Male,803,39.78,South,Lower-Middle,Good,Urban,No,Syphilis
Canada,2012,45-54,Female,675,39.11,East,Low,Good,Urban,Yes,Syphilis
USA,2019,35-44,Female,790,17.83,West,Low,Poor,Rural,Yes,Syphilis
India,2004,25-34,Female,933,28.76,East,High,Moderate,Urban,No,Syphilis
South Africa,2017,0-14,Female,982,41.67,North,Lower-Middle,Good,Urban,No,Syphilis
Canada,2014,35-44,Male,439,34.44,Central,Lower-Middle,Good,Rural,Yes,Syphilis
France,2011,55-64,Male,715,1.16,South,High,Poor,Rural,Yes,Syphilis
Japan,2016,45-54,Male,608,16.9,West,High,Moderate,Rural,No,Syphilis
France,2014,25-34,Male,483,7.31,South,High,Good,Urban,No,Syphilis
India,2001,25-34,Female,223,11.73,East,Low,Good,Urban,Yes,Syphilis
South Africa,2005,55-64,Male,749,45.28,East,High,Moderate,Urban,Yes,Syphilis
Australia,2016,45-54,Male,117,1.94,Central,Low,Good,Rural,Yes,Syphilis
Canada,2015,25-34,Female,968,11.07,East,High,Moderate,Rural,No,Syphilis
USA,2016,45-54,Male,192,15.55,Central,Lower-Middle,Poor,Urban,Yes,Syphilis
Canada,2019,25-34,Male,788,30.88,West,Lower-Middle,Good,Rural,Yes,Syphilis
Japan,2008,15-24,Male,618,26.75,Central,High,Poor,Rural,Yes,Syphilis
USA,2004,55-64,Male,994,10.99,East,High,Moderate,Urban,Yes,Syphilis
Australia,2022,45-54,Female,516,8.3,North,Low,Poor,Rural,Yes,Syphilis
Australia,2000,35-44,Female,530,11.92,Central,Upper-Middle,Poor,Urban,Yes,Syphilis
Germany,2005,15-24,Male,307,25.18,South,Low,Poor,Rural,No,Syphilis
USA,2023,65+,Female,964,13.63,North,Lower-Middle,Moderate,Urban,No,Syphilis
UK,2013,35-44,Male,532,47.39,Central,High,Moderate,Rural,No,Syphilis
South Africa,2016,55-64,Male,122,23.25,South,Lower-Middle,Moderate,Urban,Yes,Syphilis
UK,2018,25-34,Male,649,3.03,North,Upper-Middle,Moderate,Rural,No,Syphilis
Australia,2000,65+,Female,592,36.49,Central,Low,Moderate,Rural,Yes,Syphilis
USA,2000,35-44,Female,154,16.51,West,Lower-Middle,Good,Rural,Yes,Syphilis
Germany,2012,15-24,Female,870,32.71,South,Low,Good,Rural,Yes,Syphilis
Canada,2013,65+,Female,537,14.05,West,High,Good,Rural,Yes,Syphilis
Canada,2005,65+,Female,452,28.58,East,Lower-Middle,Poor,Urban,Yes,Syphilis
Canada,2005,45-54,Female,169,38.63,Central,Upper-Middle,Poor,Urban,No,Syphilis
Germany,2000,0-14,Male,59,46.41,Central,Low,Moderate,Urban,No,Syphilis
India,2013,35-44,Female,301,13.13,South,Low,Moderate,Rural,No,Syphilis
USA,2002,0-14,Male,553,16.81,Central,Upper-Middle,Good,Urban,Yes,Syphilis
UK,2022,55-64,Male,550,23.27,East,Lower-Middle,Moderate,Rural,No,Syphilis
South Africa,2009,35-44,Female,117,46.37,Central,Lower-Middle,Poor,Rural,Yes,Syphilis
Australia,2018,35-44,Male,787,45.08,North,Low,Moderate,Urban,No,Syphilis
South Africa,2018,45-54,Male,782,4.58,West,Upper-Middle,Good,Urban,No,Syphilis
Australia,2018,25-34,Male,127,6.68,East,Low,Moderate,Rural,No,Syphilis
USA,2022,15-24,Female,405,24.83,East,Low,Poor,Rural,No,Syphilis
USA,2003,15-24,Female,399,5.42,West,High,Good,Urban,No,Syphilis
France,2019,15-24,Male,515,17.34,West,Lower-Middle,Moderate,Urban,No,Syphilis
